question,answer
Can I register for VAT voluntarily?,Yes
Can this payment be stopped or reduced?,Yes
Can I get a low-interest loan towards my deposit?,Yes
Do I have authority to lodge data for file upload?,Yes
Will I have to pay more tax than I've paid?,No
Can I export this product to North Korea?,Yes
Can I apply for a Tier 4 (General) student visa?,No
Does this guide apply to me?,No
Do I need to apply for an initial Medicare provider number?,Irrelevant
Can I export this product?,Yes
Can I get a low-interest loan towards my deposit?,Is it in Wales?
Do I have the right to return to my job?,Yes
Is this a digital service?,Yes
Am I in Priority Group 1-3?,Yes
Can I get Crisis Payment?,Did you get in-kind help like new electrical goods or food?
Can I export this plant?,No
Can I ask for mandatory reconsideration for this benefit?,Is this benefit a Disability Living Allowance?
Am I in Priority Group 1-3?,Yes
Can I apply to extend my leave to study?,Yes
Does this program meet my needs?,No
Can I get the full basic State Pension?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Are you a family farmer or fisherman?
Do I need a licence to export these chemicals?,Does the chemical have radioactive substances?
Can I get Winter Fuel Payment?,No
Do I qualify for this program?,"Do you have cropland, grassland, prairie land, pastureland, rangeland, nonindustrial private forest land, or agricultural land?"
Is it my responsibility to contact the office in this situation?,No
Does this loan meet my needs?,No
Can I get Working Tax Credit?,No
Am I an independent contractor?,Yes
Will my session automatically log out?,Irrelevant
Does this guide apply to me?,Are you a man born on or after 6 April 1951?
Can my au pair be classified as a worker?,No
Could I get Cold Weather Payments?,Yes
Do I qualify for this benefit program?,Have you at least a minimum amount of wages as determined by our guidelines?
Can I be considered as a licensed marijuana producer?,Yes
Can my benefit be reduced or stopped?,No
Can I get Winter Fuel Payment?,Do you live in Malta?
Can I access Aged Care Online Services?,Yes
Can I apply for a Tier 4 (General) student visa?,No
Am I entitled to the correct minimum wage,Are you an offshort worker?
Am I committing benefit fraud?,"Were you dishonest in order to get benefits, like continuing to claim the pension or benefit of someone who has died overseas?"
Am I considered an active duty member?,No
Can I claim my Medicare benefit?,Did your doctor's practice help claim it?
Can I ask for mandatory reconsideration for this benefit?,Yes
Will I get the National Minimum Wage?,Are you on a government or European program?
Will I have to pay more tax than I've paid?,No
Can I apply to this program?,No
Can this benefit be reduced or stopped?,Yes
Can I get Crisis Payment?,Yes
Could I inherit part of my deceased partner’s Additional State Pension?,Did you partner reach state pension age before April 6 2016?
Do I need to use TRACES to create a commercial document?,No
Can I ask for mandatory reconsideration for this benefit?,Is this benefit Maternity Allowance?
Can I export this product to North Korea?,"is it high quality clothes, clothing accessories and shoes"
Is the SBIC program suitable for me?,Irrelevant
Do I have to share a bedroom?,Irrelevant
Is this a digital service?,Yes
Can I get Crisis Payment?,Are you experiencing family and domestic violence?
Am I eligible for this program?,Is the project fully secured with your assets?
Can I qualify for a Winter Fuel Payment?,Yes
Do I have to pay tax on the whole lump sum?,Did you you take payments from a pension before taking the rest as a lump sum?
Can this benefit reduced or stopped?,Yes
Do I qualify for Guarantee Credit?,Do you live in England?
Could I be charged a penalty?,Have you cancelled within 30 days of no longer being eligible?
Do I qualify for this benefit program?,No
Can I move livestock or poultry?,No
Can I claim online?,Yes
Can I increase my basic State Pension?,No
Can I use the market value of the property when working out my gain?,did you inherit it?
Could I get Cold Weather Payments?,Do you receive the Universal Credit?
Can I make a new claim for Working Tax Credit?,Yes
Am I eligible?,Yes
Does my child qualify for this benefit program?,Yes
Am I eligible?,Yes
Is a collateral required?,Do you own real estate?
Is the 7(a) loan program for me?,No
Does tax relief apply to this?,Yes
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Are you using bulk billing?
Can I receive Clothing allowance?,Yes
Do I have the right to return to my job?,Yes
Is my licence valid?,Did you get your licence more than two months ago?
Can I get the 'top up'?,No
Am I entitled to the National Minimum Wage?,No
Can I apply to use Centrepay?,No
Can I export this plant?,Is your plant a fireblight host?
Can this benefit reduced or stopped?,Have you committed benefit fraud?
Can I get a low-interest loan towards my deposit?,Yes
Can I claim and deal with tax credits for this person?,No
Am I eligible?,No
Can I reclaim the VAT?,Yes
Is outpatient dental treatment available to me?,Yes
Are there special rules for exporting these chemicals?,Are the chemicals highly restricted chemicals outside the EU?
Does tax relief apply to this?,Irrelevant
Can I get vulnerable student bursary?,Do you get Disability Living Allowance (DLA) in your name and either Employment and Support Allowance (ESA) or Universal Credit
Do these benefits apply to me?,Yes
Can I claim and deal with tax credits for this person?,No
Can I get Public Housing?,Yes
Can I get Public Housing?,Are you elderly?
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I access the Aged Care Online Services in my browser?,No
Does this payment count as paid work?,Does it include work done while in prison?
Can I increase a deduction?,Yes
Can I claim my Medicare benefit?,Yes
Can this benefit reduced or stopped?,is it a child benefit payment?
Does this loan meet my needs?,Yes
Do I qualify for this program?,No
Can I get Winter Fuel Payment?,No
Can I consume this marijuana?,No
Am I eligible for this benefit program?,"DO you reside in one of the 50 States, District of Columbia, or the Northern Mariana Islands?"
Does the loan meet my needs?,Did you need a loan over $2 million?
Can I apply to extend my leave to study?,Yes
Am I eligible for Working Tax Credit?,Were you paid?
Could I be charged a penalty?,Yes
Can I use the Capital Gains Tax calculator?,Yes
Can I apply to use Centrepay?,Yes
Can I get Crisis Payment?,Yes
Can I apply for a Tier 4 (General) student visa?,Yes
Can I claim online?,No
Can I apply for a Tier 4 (General) student visa?,Yes
Do I have the right to return to my job?,Yes
Can my Business use Centrepay?,Yes
Can I get a health certificate?,Have your plants been inspected?
Can my benefits be affected?,Yes
Does my child qualify for this benefit program?,Yes
Can I inherit half of my partner’s protected payment?,Yes
Do I qualify for relief for most of the time I live away,Did you live in the home as your only or main residence at some point while you owned it
Can I get IIDB?,Irrelevant
Can I get Cold Weather Payments?,Are you employed or self-employed?
Can I export this plant?,Yes
Do I need to wear protective headgear?,No
Do I qualify for this benefit program?,No
Can this benefit be reduced or stopped?,Have you committed Pension Credit benefit fraud?
Do I have authority to lodge data for file upload?,Yes
Does my child qualify for this benefit program?,Yes
May I be able to get Child Tax Credit?,Are you pregnant?
Would I have to pay estimated tax?,No
May I be able to get Child Tax Credit?,Are you retired?
Can I contact the Independent Adjudicator?,No
Can this benefit be reduced or stopped?,Yes
Can the VA help me with this purchase?,Have you received this payment before?
Can I export this product to North Korea?,No
Can this fund compensate my losses?,Yes
Can I get Winter Fuel Payment?,No
Am I committing benefit fraud?,"Did you deliberately not report a change in your circumstances while abroad, like buying a property, working, or claiming a pension or benefit from another country?"
Can I export this product to North Korea?,No
Am I eligible?,Yes
Am I considered Veteran?,No
Is my licence valid?,Yes
Are there special rules for exporting these chemicals?,Yes
Does the loan meet my needs?,No
"Can I file bankruptcy under Chapter 9, 12 or 15?",Yes
Could I claim help for my childcare costs?,No
Can I use the same certificate?,Yes
Can I get Universal Credit and Housing Benefit at the same time?,No
Can my Business make use of Centrepay?,Yes
Am I entitled to the correct minimum wage,No
May I be able to get tax credits?,No
Can I be classified as a worker?,Does the business deduct tax and National Insurance contributions from your wages?
Is it my responsibility to contact the office in this situation?,Have your circumstances changed?
Does this insurance cover this Veteran?,Did the veteran meet the basic eligibility requirements for S-DVI?
Can I get Winter Fuel Payment?,No
Can I be a borrower?,"Are you an individual, a cooperative organization, corporation, partnershipp, or other legal entity organized and operated on a profit or nonprofit basis, An Indian tribe on a Federal or state reservation or other Federally recognized tribal group, or a public body?"
Can I access the Aged Care Online Services in my browser?,Is your browser set to allow JavaScript?
Do I need to provide a proof of ownership?,Irrelevant
Do I need to tell  the office dealing with my benefit about this?,Yes
May I be able to get Child Tax Credit?,Yes
Can I claim and deal with tax credits for this person?,No
Can I access the Aged Care Online Services in my browser?,Yes
Is it my responsibility to contact the office in this situation?,Do you believe that you have been overpaid?
Is a collateral required?,Yes
Can some of my benefit stop?,Have you received certain benefits continuously for at least 26 weeks right up to the time when you went back work?
Can the VA help me with this purchase?,Have you received this payment before?
Do I need to get consent for schedule services?,No
Does this insurance cover this Veteran?,No
Do I qualify for Guarantee Credit?,Do you live in England?
Does this loan meet my needs?,Do you need long term financing for the cost of construction or reconstruction of fishing vessels in the Northwest Halibut/Sablefish and Alaskan Crab Fisheries?
Can this program help me?,No
Could I be able to stay longer to continue my course?,No
Can I export this product to North Korea?,No
Can I claim and deal with tax credits for this person?,No
Do I qualify for this program?,"Do you have cropland, grassland, prairie land, pastureland, rangeland, nonindustrial private forest land, or agricultural land?"
Am I entitled to the correct minimum wage,Are you a foreign worker?
Can I apply to bring a dependant to the UK?,Will your course last longer than 6 months?
May I be able to get Child Tax Credit?,Yes
Can this benefit reduced or stopped?,Is the benefit Industrial Injuries Exceptionally Severe Disablement Allowance (where a Disablement Pension is payable)?
Can I get Cold Weather Payments?,No
Can I provide this document?,Irrelevant
Do I have authority to view care recipient information?,Are you Residential Care level 8?
Will I get the National Minimum Wage?,Yes
Will ABSTUDY help with housing?,Irrelevant
Do I have to register for VAT with HM Revenue and Customs (HMRC)?,Yes
Do I have authority to view care recipient information?,Yes
Do I qualify for Winter Fuel Payment?,Yes
Could the adult dependency increase I receive stop?,Yes
Do I qualify for Winter Fuel Payment?,Yes
Do I need to wear protective headgear?,Are you under 15 years old?
Do I need a certificate to move this medical device?,Yes
Can the VA help me with this purchase?,No
Do I need to pay UK tax on income or gains?,Yes
Do I need a plant passport?,No
Can I claim this expense?,Yes
Can I export germplasm?,Have you registered your premises?
Can I get Public Housing?,Yes
Can this benefit be reduced or stopped?,Did you commit benefit fraud?
Do I need a supplier document?,Are you selling any other plant ‘propagation material’ from ornamental plants within the EU?
Can this program help me?,No
Can I get Crisis Payment?,Do you get another income support payment?
Can I call Debt Management Recovery From Estates now?,No
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Are you using bulk billing?
Do I need to wear a seat belt?,Irrelevant
Do I need to have a health certificate?,No
Am I considered Veteran?,Yes
Am I eligible for the Parenting Payment?,Has your child been born?
Can I export this product?,No
Can I apply to extend my leave to study?,Yes
Can I access the Aged Care Online Services in my browser?,is your browser Google Chrome version 29+?
Can I get Winter Fuel Payment?,Yes
Am I entitled to the correct minimum wage for my age?,Yes
Can I get Winter Fuel Payment?,No
Am I eligible for the Pensioner Education Supplement?,Irrelevant
Is this a digital service?,Yes
May I qualify for VA health care benefits?,No
Can my Business make use of Centrepay?,No
Can this benefit reduced or stopped?,No
Is this a cultural good?,Is it an archaeological item?
Can I use the Capital Gains Tax calculator?,Did you sell business premises or land?
Can I use the loan for this expense?,Will it be used for minor real estate repairs?
Am I able to claim the new State Pension?,Are you a man born on or after 6 April 1951?
Can the VA help me with this purchase?,Yes
Can I get Winter Fuel Payment?,No
Can I claim SMP?,Are you in Bosnia and Herzegovina?
Can I apply to bring a dependant to the UK?,Are you a doctorate extension scheme student?
Can I apply for a Tier 4 (General) student visa?,Yes
Can I claim in advance?,Yes
Can I use the market value of the property when working out my gain?,Yes
Will I get up to £2010?,Yes
Can I get tax relief?,Was the property occupied by a dependent relative?
Can I charge VAT on this?,No
Can I appoint a nominee?,Are you in residential aged care or are getting a home care package?
Am I entitled to the correct minimum wage,Yes
Am I eligible?,is it at an approved college or training provider in England
Do I have to Capital Gains Tax?,Irrelevant
Am I able to claim the new State Pension?,Yes
Am I eligible to enrol?,Yes
Do need to tell HM Revenue and Customs about this?,No
Can I apply for a regular deduction?,No
Will my right to maternity be affected?,No
Does this insurance cover this Veteran?,No
Can I be considered for this program?,No
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Yes
Can I be classified as a worker?,No
Am I eligible for a Tier 4 (General) student visa?,do you have enough money to support yourself and pay for the course?
Do I need to register?,Yes
Can I export this product to North Korea?,No
Does my child qualify for this benefit program?,Yes
Does my child qualify for this benefit program?,No
Are there special rules for exporting these chemicals?,Yes
Can I appea to the tribunal?,Yes
Can I get Rent Assistance?,Irrelevant
Am I eligible for the loan?,"Are you a corporation, limited liability company or other acceptable business entity with no less than 51 percent ownership by Federally recognized American Indians or Alaska Natives?"
Is a collateral required?,Yes
Am I eligible for this program?,No
Can it be paid to my dependent?,Yes
Am I eligible?,No
Do I have authority to lodge data for file upload?,No
May I be able to get Working Tax Credi?,Yes
Can I get tax credits?,No
Does this payment count as paid work?,No
Can I export germplasm?,Yes
Can I export this plant?,No
Do I need to contact the office?,Do you think it is your fault?
Do I qualify for assistance?,No
Am I responsible for paying back overpayments?,Irrelevant
Do I need a plant passport?,"Is your plant listed on passport application form PHAR 3 (PDF, 1.22MB, 4 pages)?"
Have I commited benefit fraud?,Yes
Can I make a new claim for Working Tax Credit?,Yes
Do I qualify for this benefit program?,No
Do I need to tell  the office dealing with my benefit about this?,Has your circumstances changed?
Is it my responsibility to contact the office in this situation?,Do you believe that you have been overpaid?
Can I claim bereavement benefits?,No
Am I eligible?,No
Do I need to pay National Insurance?,Yes
Can I ask for mandatory reconsideration for this benefit?,Is it an attendance allowance?
Can I apply to become a tax credit appointee?,Do you have a bank account?
Am I eligible?,Will you be 24 or older on the first day of your course?
Can I ge the full amount?,Do you only study part time?
Will I inherit the top up as part of my spouse's Additional State Pension?,Irrelevant
Can I backdate this claim?,No
Can I get a plant health certificate?,Irrelevant
May I qualify for VA health care benefits?,No
May I have to pay tax when selling my property?,No
Can I apply for Tier 4 student visa for this course?,Is it a an overseas course of degree level study that’s equal to a UK higher education course and is being run by an overseas higher education institution
Does this program meet my needs?,No
Is a collateral required?,Can you pledge that collateral is available?
Am I entitled to the National Minimum Wage?,Are you living and working in a religious community?
Could I inherit part of my deceased partner’s Additional State Pension?,No
Can I inherit up to 100% of my spouse's SERPS pension?,Yes
Can I register for VAT voluntarily?,Yes
Do I have the right to return to my job?,Has your parental leave been 4 weeks or less?
Am I eligible for a Tier 4 (General) student visa?,No
Am I eligible for the Parenting Payment?,No
May I be able to get Child Tax Credit?,Are you retired?
Can I apply to bring a dependant to the UK?,Will your course last longer than 6 months?
Is it my responsibility to contact the office in this situation?,No
Can I access the Aged Care Online Services in my browser?,No
Do I have the right to return to my job?,No
Can I be classed as doing voluntary work?,Are you working for a voluntary organisation or associated fund-raising body?
Can I get a CAS?,Have you  worked as a student union sabbatical officer to complete a qualification you started studying under your last Tier 4 (General) student visa?
Can my Business use Centrepay?,Yes
Do I qualify for Guarantee Credit?,No
Can I ask for mandatory reconsideration for this benefit?,Is it an attendance allowance?
Am I allowed to authorize the use of marijuana?,Yes
Is this income suitable for me?,Are you a child who have limited income and assets?
Can I ask for mandatory reconsideration for this benefit?,Yes
Will I automatically be paid the higher benefit when I reach the threshold?,No
Can my partner and I claim working tax credit?,Yes
Will I be asked questions by this person?,Yes
Do I need to post the form VAT1A?,No
Can CentrePay help my Business reduce this cost?,No
Am I eligible for 16 to 19 Bursary Fund?,No
Can I get vulnerable student bursary?,Yes
Can the VA help me with this purchase?,Is the purchase for an automobile?
Am I entitled to the correct minimum wage for my age?,Yes
Can I get Crisis Payment?,Yes
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,No
Can I contact the Independent Adjudicator?,Yes
Can I ask for mandatory reconsideration for this benefit?,Is this benefit an Employment and Support Allowance (ESA)?
Could I be considered as an employer?,No
Could I get Cold Weather Payments?,Are you getting a Pension Credit?
Can I be considered as a licensed marijuana producer?,Yes
Can I get cash assistance from TANF?,Irrelevant
Is this child a dependent child?,No
Can I get Crisis Payment?,Yes
Do I need to wear a seat belt?,Do you have a disability or other medical condition that makes it unsafe or impossible to wear a seat belt?
Can I take everything I have in my defined benefit pension?,Yes
Can I be classified as a worker?,Are you under the supervision or control of a manager or director?
Can I increase my basic State Pension?,Yes
Can I claim and deal with tax credits for this person?,Yes
Can I qualify for a Winter Fuel Payment?,No
Can I get Working Tax Credit?,Yes
Will I get the National Minimum Wage?,Yes
Can I use the loan for this expense?,Will the loan be used for normal operating expenses?
Can my Business use Centrepay?,Yes
Can I use Aged Care Online Claiming?,Yes
Can I make a new claim for Working Tax Credit?,No
Do I qualify for this benefit program?,No
Can this benefit reduced or stopped?,No
Can I get Guardian’s Allowance?,No
